#OTU ID	103.CO3	103.AR1	103.SA1	103.CA2	103.TL1	103.HI3	103.IT1	103.SK3	103.KP4	103.MD5	103.MP2	103.CO2	103.HF2	103.MD2	103.SP2	103.IT2	103.RT1	103.SP1	103.PE6	103.BF1	103.SF2	103.CM1	103.HI1	103.CL3	103.SK1	103.CO1	103.CL1	103.GB5	103.SR2	103.CC1	103.HJ1	103.AR2	103.CA1	103.DF2	103.PE1	103.MD4	103.PE7	103.KP1	103.AR3	103.SV2	103.SN1	103.LQ1	103.HI2	103.GB3	103.TL2	103.DF3	103.CF1	103.PE4	103.HF1	103.KP3	103.MP1	103.BP1
3431064	1.0	0.0	0.0	3.0	92.0	0.0	0.0	5.0	0.0	0.0	4.0	5.0	0.0	0.0	7.0	7.0	0.0	5.0	0.0	1.0	0.0	0.0	0.0	3.0	3.0	15.0	0.0	0.0	0.0	1.0	1.0	0.0	6.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	5.0	8.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0
4416927	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	6.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1122202	3.0	0.0	0.0	6.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	24.0	0.0	3.0	0.0	0.0	2.0	8.0	0.0	0.0	9.0	16.0	0.0	0.0	0.0	1.0	0.0	5.0	5.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	9.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	5.0
3616127	0.0	0.0	0.0	0.0	1.0	0.0	1.0	6.0	0.0	0.0	10.0	1.0	6.0	0.0	6.0	0.0	0.0	0.0	2.0	5.0	0.0	0.0	0.0	2.0	4.0	0.0	1.0	0.0	0.0	5.0	10.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	3.0	5.0	14.0	8.0	0.0	6.0	1.0
2285453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	12.0	18.0	0.0	0.0	1.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	16.0	3.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	63.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	4.0	0.0	6.0	0.0
113212	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	14.0	0.0	27.0	0.0	1.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	1.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	16.0	9.0	11.0	0.0	1.0	0.0
804187	23.0	1.0	7.0	24.0	0.0	15.0	10.0	0.0	6.0	0.0	0.0	6.0	0.0	0.0	0.0	16.0	0.0	19.0	0.0	0.0	19.0	12.0	0.0	19.0	0.0	17.0	5.0	8.0	3.0	4.0	0.0	3.0	45.0	24.0	0.0	0.0	0.0	32.0	5.0	0.0	0.0	0.0	3.0	146.0	20.0	0.0	0.0	0.0	1.0	6.0	0.0	87.0
148890	0.0	0.0	2.0	1.0	14.0	13.0	4.0	16.0	0.0	0.0	36.0	32.0	2.0	0.0	4.0	14.0	2.0	5.0	0.0	6.0	0.0	2.0	0.0	7.0	20.0	22.0	5.0	0.0	1.0	6.0	44.0	0.0	4.0	8.0	0.0	0.0	1.0	2.0	0.0	0.0	3.0	0.0	2.0	41.0	7.0	4.0	6.0	7.0	5.0	1.0	20.0	0.0
4424782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	15.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	2.0	30.0	2.0	0.0	0.0	0.0
222209	4.0	2.0	3.0	0.0	0.0	18.0	2.0	4.0	7.0	0.0	10.0	7.0	0.0	1.0	7.0	5.0	3.0	11.0	2.0	6.0	0.0	0.0	10.0	9.0	8.0	3.0	20.0	0.0	0.0	5.0	15.0	11.0	1.0	16.0	1.0	0.0	3.0	9.0	0.0	0.0	0.0	5.0	11.0	6.0	0.0	24.0	13.0	8.0	6.0	0.0	20.0	3.0
